country,date,description,hazard,importer,incidents,link,name,remedy,retailer,units
U.S. and Spain,"March 16, 2016",This recall includes SRAM's Zipp bicycle wheel hubs.,"The hub flanges on the front hubs can fail, posing a crash and injury hazard.",,SRAM has received one report in the U.S. of hub flange failure that could have led to wheel collapse. No injuries have been reported in the U.S. ,https://cpsc.gov/Recalls/2016/SRAM-Recalls-Zipp-Bicycle-Wheel-Hubs,Zipp 88 aluminum front hubs,Replace,"Speciality bicycle stores nationwide from May 2010 through January 2015. The front hubs sold for about $215. Complete front wheels with the hubs sold for between $1,035 and $1,325. The front wheel was also sold as a wheel set with a rear wheel for between $2,300 and $2,950. ","About 54,000 (In addition, about 2,900 were sold in Canada)"
Taiwan,"March 25, 2016",The recall includes Specialized Flux and Stix Sport and Comp model bicycle headlights and taillights sold separately as aftermarket equipment.,"The headlights and taillights can overheat, posing fire and burn hazards.","Specialized Bicycle Components Inc. (Specialized), of Morgan Hill, Calif.",The firm has received four reports of Flux headlights or taillights overheating and two reports of Stix headlights expanding and bursting. No injuries have been reported. ,https://cpsc.gov/Recalls/2016/Specialized-Bicycle-Components-Recalls-Headlights-and-Taillights,Specialized bicycle headlights and taillights,Replace,Authorized Specialized retailers nationwide and online at ,"About 110,000"
Taiwan,"March 16, 2016","This recalls involves SRAM's Zipp stainless steel or titanium quick releases. They were sold as aftermarket components or as part of the 202 DB V2, 303 DB V2, 404 Firestrike V2, 202 Firecrest V3, 303 Firecrest V3, 404 Firecrest V3, 808 Firecrest V3 or 808 NSW wheel sets. The quick release has a curved, black lever. Zipp appears on the lever. Only quick releases without a marking at the center of the underside of the lever, below the Zipp logo are included on this recall.","The quick releases can fail to engage in the closed position, posing crash and injury hazards to the rider.",,The firm has received three incident reports of the quick release failing. No injuries have been reported. ,https://cpsc.gov/Recalls/2016/SRAM-Recalls-Zipp-Bicycle-Quick-Releases,Zipp® bicycle quick releases,Replace,"Specialty bicycle stores nationwide from March 2015 through December 2015 for about $47 for the stainless steel quick release and about $84 for the titanium quick release. Wheel sets equipped with the quick releases were sold for between $1,000 and $3,600.","About 6,400"
China,"March 16, 2016","This recall involves GE Lighting high intensity discharge (HID) LED lamps. The lamps are used in lighting fixtures for warehouses, schools and gymnasiums. The lamps are 5 1/2 inches in diameter by 11 1/2 inches long and weigh about 3 pounds. The lamps were sold in a blue and white carton with ""ED37/EX39 base"" on the front and ""PC:21259"" on the back above the bar code. Recalled lamps have the GE logo and the following information on the white plastic base of the lamp: LED165/M400/740, 165W, 4000K, 20000 Lumens, China and date code K213 or K245.","The lamp can separate from its base and fall onto consumers below, posing an impact hazard.","GE Lighting, of Cleveland, Ohio",The firm has received four reports of the lamp separating from the lamp base. No injuries or property damage have been reported.  ,https://cpsc.gov/Recalls/2016/GE-Lighting-Recalls-High-Intensity-LED-Replacement-Lamps,High-intensity LED lamps,Repair,"GE Lighting authorized dealers and electrical distributors nationwide, including Crescent Electric Supply Company, Graybar and W.W. Grainger Industrial Supply from September 2015 through December 2015 for between $250 and $300.  ","About 35,000 (in addition, about 500 were sold in Mexico)"
China,"March 18, 2016","The lamps are brush-finished nickel plated and have a dimmer switch.  The floor lamp is 49 inches tall, and the table lamps are 14 or 18 inches tall. ""Gothem"" and the IKEA logo are printed on the label attached to the underside of each lamp base. ","Cables damaged during manufacturing can come in contact with the metal body of the lamp, posing a shock hazard to consumers.","IKEA North America Services LLC, of Conshohocken, Pa.",Three reports of minor shock have been received worldwide. ,https://cpsc.gov/Recalls/2016/IKEA-Recalls-Floor-and-Table-Lamps,Gothem floor and table lamps,Refund,,"About 30,600"
Japan,"March 21, 2016","This recall involves Panasonic six-cell lithium-ion (Li-ion) battery packs sold in Panasonic CF-S10 Series laptop computers. ""Panasonic"" and ""CF-S10"" are on the surface of the laptop on the left side below the keyboard. Battery packs with the following model numbers and production lot numbers are being recalled:","Conductive foreign material was mixed into the battery cells during manufacturing, posing a risk of fire.","Panasonic Corporation of North America, of Newark, N.J.",None reported,https://cpsc.gov/Recalls/2016/Panasonic-Recalls-Lithium-ion-Laptop-Battery-Packs,Lithium-ion Computer Battery Packs,Replace,"Panasonic dealers from December 2011 through August 2013 for about $2,000 for the laptop.  ","About 387 (in addition, 110 were sold in Canada)"
U.S.A.,"March 18, 2016",This recall involves blue CompuTrainer Flywheels manufactured before 2008. The CompuTrainer Flywheels are used to make bicycles stationary for indoor training. The blue flywheel is a die casting made of zinc. It measures 4.75 inches in diameter and weighs 1.1 pounds.,The blue flywheel can shatter while in use and throw metal pieces into the air. This poses a risk of injury from impact to the rider and any bystanders.,,"RacerMate has received five reports of flywheels that have shattered, including three reports of injuries, including lacerations and leg bruises.",https://cpsc.gov/Recalls/2016/RacerMate-Recalls-CompuTrainer-Blue-Flywheels,CompuTrainer Blue Flywheels,Replace,"RacerMate and bicycle stores nationwide from November 1997 through November 2008 for about $1,500.","About 25,000"
China,"March 28, 2016","This recall involves Fiskars Titanium Bypass Lopper shears with model number 6954. The lopper shears have 32-inch dark orange steel handles and black rubber grips with a gray strip. Plastic gears connected to the pruning blades allow the consumers to open and close the pruning blades by moving the handles.  ""FISKARS"" is printed on one handle and product identification information, including model number 6954, is printed on a label on the opposite handle above the barcode.","The lopper handles can break when attempting to cut branches, posing a risk of serious injury and laceration.",,"The firm has received a total of 33 reports of incidents, of which 10 occurred after the October 2014 ",https://cpsc.gov/Recalls/2016/Additional-Injuries-Prompt-Reannouncement-of-Fiskars-Recall-of-Bypass-Lopper-Shears,Fiskars® 32-Inch Bypass Lopper Shears,Replace,,"About 277,000 (in addition, 11,000 were sold in Canada)"
U.S.,"March 11, 2016","This recalls involves Room & Board's Doyle arm chairs and side chairs. The wood chairs were sold with and without an upholstered seat and in five different finishes:  Charcoal, cherry, maple, shell and walnut. Each chair has a barcode printed on a label located under the seat on the inside of the seat frame. ""Room & Board-Handcrafted in Vermont"" is inscribed on the seat frame next to the barcode. A complete list of bar codes included in this recall can be found on the firm's website.","The backrest can break during normal use, posing a laceration hazard to the user.",,"The firm has received 10 incident reports of the chair backrest breaking, including one report of a scratch. ",https://cpsc.gov/Recalls/2016/Room-Board-Recalls-Chairs,Doyle arm chairs and side chairs,Refund,,"About 1,500"
United States and China,"March 3, 2016","This recall involves Pelican 9410L flashlights equipped with lithium ion battery packs and replacement battery packs. The flashlights are yellow and black. ""Pelican 9410L"" is printed on the front of the flashlights and on the top of the handle. The recalled flashlights have manufacturer part number 9410-021-245 or 9410-021-110 printed on the packaging. The manufacturer part number for the recalled battery pack is 9413-301-001 and is printed on a label on the battery's shrink wrap.  Only battery packs that contain green shrink wrapped cells are included in the recall.","The battery packs in the flashlights can overheat, posing a fire hazard to consumers.",,Pelican has received two reports of overheating battery packs. No injuries have been reported.,https://cpsc.gov/Recalls/2016/Pelican-Products-Recalls-Flashlights-And-Replacement-Battery-Packs,Pelican flashlights and replacement battery packs,Replace,"Sports and specialty stores nationwide, online at Amazon.com and other industrial supply dealers or distributors from May 2014 through January 2016 for between $240 to $280 for the flashlights and between $50 and $70 for the replacement battery packs.","About 3,800 flashlights and 150 replacement battery packs (in addition, about 800 flashlights and 18 replacement battery packs were sold in Canada)."
Vietnam and China,"March 8, 2016","The recalled allen + roth Linden and Brainerd Ironton wall plates have two plates that are attached by hidden fasteners: (1) a backplate that screws into the wall like traditional wall plates, and (2) a decorative cover that snaps over the cover through use of spring clips.   The recalled plates have a smooth, metallic finish and fit a variety of switch and outlet designs.  The recalled decorative wall plates snap onto the backplate without the use of screws. Under the decorative plate, the backplate is stamped with the letters ""LHMC.""","The decorative wall plates can dislodge from the backplate and short circuit the outlet, posing a risk of electrical shock or fire.","Liberty Hardware Manufacturing Corp., of Winston-Salem, N.C.","The firm has received two reports of short circuits when the decorative plate dislodged from the back plate and touched an energized, partially released plug. No injuries have been reported. ",https://cpsc.gov/Recalls/2016/Liberty-Hardware-Recalls-Decorative-Metal-Wall-Plates,Wall plates,Refund, Lowe's Home Improvement stores nationwide and and online at ,"About 374,000"
China,"March 9, 2016",This recall includes Golda wall clocks.,"The batteries inside the clock can overheat due to defective battery springs located at the bottom of the battery compartment, posing a fire hazard.","Z Gallerie, of Gardenia, Calif.",None reported,https://cpsc.gov/Recalls/2016/Z-Gallerie-Recalls-Wall-Clocks,Golda Wall Clocks,Refund,Z Gallerie stores nationwide and online at ZGallerie.com between July 2015 and January 2016 for about $400. ,About 450
U.S.,"March 10, 2016","The recall includes Williamson and Thermoflo furnaces and boilers with Carlin oil burners with an installation date label between April 1, 2015 and November 31, 2015. The installation date is printed on a label on the outside of the furnace or boiler. Recalled furnaces have a Carlin burner inside of the furnace, behind the furnace grate. Recalled boilers have a Carlin burner attached to the outside of the boiler enclosure. ""Carlin"" is printed in white letters on the face of the burner nameplate.  ","A wiring malfunction can result in the burners failing to shut off, posing a fire hazard.",,Carlin has received one report of the burner failing to shut off. No injuries have been reported. ,https://cpsc.gov/Recalls/2016/Carlin-Recalls-Williamson-and-Thermoflo-Furnaces-and-Boilers-Equipped-with-Carlin,Williamson-Thermoflo furnaces and boilers equipped with Carlin oil burners,Repair,Heating and plumbing contractors that install Williamson-Thermoflo heating and plumbing equipment nationwide from April 2015 through November 2015 for about $500 for the burners.   ,About 110
Taiwan,"March 9, 2016","This recall involves all model years 2015 and 2016 UXV 450i, UXV 450i LE and UXV 450i Turf models. Recalled utility vehicles come in the colors blue, camouflage, matte black, gold, green, red, blue and black. The model year 2015 recalled vehicles are those units with the last six numbers of the vehicle identification numbers (VIN) between 100101 and 190370. The model year 2016 recalled vehicles are those units with the last six numbers of the vehicle identification numbers (VIN) between 190371 and 260240. The VIN can be found on the frame behind the right front wheel. UXV is printed on each side of the rear cargo box and on the hood. KYMCO is printed on the side panels. ","The throttle can fail to return to idle causing the rider to lose control, posing crash and injury hazards.",,The firm has received seven reports of the throttle failing. No injuries have been reported.,https://cpsc.gov/Recalls/2016/KYMCO-Recalls-Utility-Vehicles,Utility Vehicles,Repair,"Authorized KYMCO dealers nationwide from June 2014 through November 2015 for between $8,000 and $8,700.","About 1,700"
U.S.,"March 10, 2016","This recall involves mesh and solid-material Anchor 5-Star, Anchor Mesh, Classic Solid and Defender Mesh brand custom safety pool covers. The covers' cables are connected to the pool wall using brass-plated snap hooks with a gold-tone spring tab, a seam and a hook end with a bezel. The date of manufacture appears on the warning label on the underside of each pool cover. Manufacture dates of ""Sep 14,"" ""Oct 14"" and ""Nov 14"" are subject to the recall. ""Manufactured by Anchor Industries, Inc."" also appears on the label.","The brass-plated snap hooks used to connect the cover's cables to the wall can break, posing a drowning risk.","Anchor Industries, Inc., of Evansville, Ind.",The firm has received 20 reports of snap hook failure. No injuries have been reported. ,https://cpsc.gov/Recalls/2016/Anchor-Industries-Recalls-Safety-Pool-Covers,Safety pool covers,Repair,"Independent pool supply stores and dealers nationwide from September 2014 to November 2014 for about $3,000.",About 350
U.S.,"March 15, 2016","This recall involves gas station hose and swivel fitting sets used with gas station nozzles to dispense or transfer refined fuels such as gasoline, diesel, ethanol blends and biodiesel blends. The sets are made of at least one metal swivel fitting attached to ?-inch or 1-inch FLEX-ING brand FLEX-ON Hardwall, Marina and Softwall hoses. The attached hoses were sold in varying lengths. The size in inches and millimeters, and part number 559N or 559NMP are printed on the sidewall of the hoses.","The swivel fitting can separate from the hose, causing fuel to leak, posing a fire and explosion hazard.",,Franklin Fueling Systems has received reports of three incidents in which a swivel fitting has separated from a hose causing a fuel spill. No injuries have been reported.,https://cpsc.gov/Recalls/2016/Franklin-Fueling-Systems-Recalls-Gas-Station-Hose-Swivel-Fitting-Sets,Gas station hose/swivel fitting sets,Refund,"Distributors, contractors and gasoline stations nationwide from April 2015 through September 2015 for swivel fittings with ?-inch hoses and May 2015 through October 2015 for swivel fittings with 1-inch hoses. The hose/swivel fitting sets were sold for between $18 and $400.","About 9,000"
China,"February 18, 2016","This recall involves Eurotech Lume office chairs. The black, mesh mid-back, adjustable chairs have a black base with five wheels. Item number MF2500 and the date of manufacture in YY/MM/DD format are printed on a label located on the underside of the seat. Dates of manufacture included in the recall are between 14/10/08 and 15/10/16.","The chair seat can detach, posing a fall hazard to consumers.","Raynor Marketing, LTD, of West Hempstead, N.Y.",None,https://cpsc.gov/Recalls/2016/Raynor-Recalls-Office-Chairs,Eurotech Lume office chairs,Refund,Davies Office in New York and Office Furniture Depot stores in New Jersey and by other independent distributors from January 2015 through November 2015 for about $300.,"About 1,200"
U.S.,"March 1, 2016","This recall involves five models of Top Fin Power Filters. The models included in this recall are Top Fin Power Filters 10, 20, 30, 40 and 75.  The filters are black with a trapezoid shaped top.  The words ""TOP FIN"" are molded into the top of the filter.  The filters were also sold as part of Top Fin 5.5 and 10 gallon LED aquarium kits.","A conductor on the pump motor can become exposed and electrify the aquarium water, posing a shock hazard to consumers.",,None reported,https://cpsc.gov/Recalls/2016/United-Pet-Group-Recalls-Top-Fin-Power-Filters-for-Aquariums,Top Fin Power Filters for Aquariums,Replace,,"About 155,000 (in addition, about 3,300 filters were sold in Canada)"
Vietnam,"February 18, 2016","This recall involves ENVE Carbon Fiber Road Fork 2.0 Disc 1.25"" taper models. The bicycle forks included in this recall have serial numbers beginning with: VCT1406, VCT1410, VCT1411, VCT1501, VCT1502, VCT1503, VCT1505, VCT1506, VCT1507, VCT1508, VCT1509 and VCT1510. The serial number is located on the black steerer tube.","The left leg of the bicycle fork can crack above the disc brake mount, posing a fall hazard.","ENVE Composites, of Ogden, Utah",ENVE has received five reports of the left leg of the fork cracking above the disc brake mount.  No injuries have been reported.,https://cpsc.gov/Recalls/2016/ENVE-Recalls-Bicycle-Forks,Bicycle Forks,Refund,Authorized ENVE dealers nationwide and online from June 2014 through December 2015 for about $540 for the fork.,About 600
U.S.,"February 24, 2016","This recall involves Smartstove free standing pellet stoves, with model number 55-SHSSP01 and serial numbers ranging from 101 through 2513. The cast iron pellet stove is about 36 inches high, 24 ? inches wide, 24 inches deep and has a black satin finish. It has an arched glass door on the front with vents above the door. The Smartstove logo appears on the stove's control panel. The model and serial numbers are located on a black plate on the top right hand corner on the back of the stove.","Smoke can build up inside the firebox due to ash accumulation and the glass in the door can break, posing a laceration hazard.",,"The firm has received four reports of incidents, including one report of a minor injury.",https://cpsc.gov/Recalls/2016/Englands-Stove-Works-Recalls-to-Repair-Freestanding-Pellet-Stoves,Smartstove freestanding pellet stoves,Repair,Lowe's and specialty hardware stores nationwide and online at ,"About 2,300"
Germany,"February 25, 2016","This recall involves the Vitodens 200-W condensing gas boilers used for residential use. These wall hung units are housed in a white metal box that measures about 43.5 inches tall by 19 inches wide by 21 inches deep.  There are two models: B2HB-45 and B2HB-57 included in this recall.  The name ""Vitodens"" and ""Viessmann"" are printed on the label on the outside of the boiler box. The product name and model number can be found on the boiler rating plate located on the left side of the white boiler cover. The serial number can be found on a separate label under the boiler cover or on the left hand side of the unit. Recalled boilers do not have a blue dot with a handwritten data label on it.   ","The boiler can overheat and emit flue gases into the venting system and carbon monoxide can leak throughout the residence, posing a fire and carbon monoxide hazard to consumers.","Viessmann Manufacturing Co. (U.S.) Inc., of Warwick, R.I.","The firm has received 10 reports where the boilers overheated, causing the boilers to shut down.",https://cpsc.gov/Recalls/2016/Viessmann-Recalls-Gas-Boilers,Gas boilers,Repair,"Heating and Plumbing contractors or wholesalers to consumers nationwide from September 2015 through December 2015 for about $4,800 and $5,800. ","About 165 in the United States (in addition, about 141 were sold in Canada)"
China,"February 18, 2016","This recall involves Crewcuts brand girls' puffer coats in dark wine (maroon), navy (blue), and sun washed peony (pink) colors. The coats are padded with geometric squares with six buttons down the front of the coat. There is a faux fur trim lining the hood and the coats were sold in girls sizes 2-14.  Only coats with style number C9048 and PO numbers: 5055794, 5056319, 50565325, 8053606, 8053098 or 8053603 are included in the recall. The style and PO number are printed on a care label sewn into the inside seam of the coats along with ""FA 15"" or ""HO 15."" ","The buttons on the front of the coat can detach, posing a choking hazard to young children.","J. Crew Group Inc., of New York, N.Y.",J. Crew has received four reports of the buttons detaching. No injuries have been reported. ,https://cpsc.gov/Recalls/2016/J-Crew-Recalls-Girls-Coats,Girls' Crewcuts puffer coats,Refund,"J. Crew and Crewcuts stores nationwide, the J. Crew catalog and online at ","About 16,400 (in addition, 63 units were sold in Canada)"
China,"March 1, 2016","The recalled Ambient Weather radios are red and black and measure about 8 inches wide by 4 inches tall by 2 inches deep. ""Ambient Weather,"" ""AM/FM/Weather Band Radio"" and ""NOAA Weather Radio"" are printed in white lettering on the front of the radio. The radios have a black crank handle on the back, an antenna on the top, and LED flashlight on the left side, a clip on the right side and a cable to charge a smart phone. Accessories included an AC adapter, DC converter or solar panel charger. Model number WR-333,WR-333A, WR-334-U or WR-334A-U is printed in the owner's manual. ","The weather radio can overheat when plugged into an AC power outlet, posing a fire hazard.",,The firm has received an additional four reports of smoke in the back battery area. No injuries have been reported. ,https://cpsc.gov/Recalls/2016/Ambient-Weather-Recalls-Radios,Ambient Weather radios,Refund,Grainger stores nationwide and online at Amazon.com and AmbientWeather.com from October 2012 through June 2014 for between $30 and $90.,"About 57,000 (In addition, about 12,500 were 
recalled
 in August 2015)"
China,"March 2, 2016","This recall involves 14 ounce, white ceramic coffee mugs with ""Love Today"" printed in gold metallic on the outside of mug. ""Microwave Safe"" and ""Illume"" are printed on a removable label on the bottom of the mug. ","The mugs were mislabeled as microwave safe. If microwaved, the metallic print on the mug can spark, posing a fire hazard.","Target Corp., of Minneapolis, Minn.",Target has received three reports of mugs sparking during microwaving. No injuries have been reported.,https://cpsc.gov/Recalls/2016/Illume-Recalls-Valentines-Day-Themed-Ceramic-Mugs,"""Love Today"" ceramic coffee mugs",Refund,,"About 12,300"
United States,"February 17, 2016","This recall involves Amana, Century, Comfort-Aire, Goodman and York International-branded Packaged Terminal Air Conditioners and Heat Pumps (PTAC), and Amana-branded Room Air Conditioners (RAC). The units are rated 230/208 volt, 3.5 kW and are most often installed through the walls of hotels, motels, apartment buildings and commercial spaces to provide room climate control. The RAC units are installed through the walls or windows of the same types of properties. The recalled units are beige and have serial numbers ranging from 0701009633 through 0804272329. The brand name is located on the unit's front cover. The serial number is located on the label found by lifting the front cover of PTAC units or the grille of RAC units. Additionally, any PTAC and RAC units that have a beige power cord labeled with a four-digit date code in the MMYY format and ending in 06 or 07, or ranging from 0108 through 1808 are included in this recall.","The power cords on the air conditioning and heating units can overheat, posing burn and fire hazards.","Goodman Company, L.P. of Houston, Texas","Goodman has received approximately 10 reports of PTACs catching on fire, including four involving property damage.",https://cpsc.gov/Recalls/2016/Goodman-Company-Expands-Recall-of-Air-Conditioning-and-Heating-Units,Packaged Terminal Air Conditioner/Heat Pumps (PTAC) and Room Air Conditioners (RAC),Repair,"Goodman and heating and cooling equipment dealers nationwide from January 2007 through June 2008 for between $700 and $1,000.","About 5,300 (In addition, about 233,500 PTAC units were 
recalled
in August 2014.)"
China,"February 17, 2016","This recall involves Ashland gift and storage cardboard boxes covered in decorative paper. The boxes were sold in nine themes and have ribbon, burlap and other embellishments. Each of the three shapes of boxes, circle, square and rectangle were sold in three sizes, small, medium and large. Boxes with the following SKU numbers are included in the recall: 434397, 434398, 434399, 434458, 434459, 434460, 434465, 434467, 434468, 434470, 434471, 434472, 434474, 434475, 434476, 434479, 434480, 434481, 484483, 434484, 434485, 434487, 434488, 434489, 434490, 434492, 434493. ""Ashland"" and the SKU number can be found a label affixed to the underside of each box.","Mold can be present on the boxes, posing a risk of respiratory or other infections in consumers with compromised immune systems, damaged lungs or an allergy to mold.","Michaels Stores Procurement Company Inc. (MSPCI), Irving, Texas ",None reported,https://cpsc.gov/Recalls/2016/Michaels-Recalls-Holiday-Paper-Boxes,Ashland® holiday paper boxes,Refund,,"About 288,000 (in addition, 1,170 were sold in Canada)"
China,"February 11, 2016",This recall includes ZAAZ,"The arm bar can bend or detach during use, posing a fall hazard to children.","Nuna Baby Essentials Inc., of Morgantown, Pa.","Nuna has received 50 reports of the arm bar detaching, including six reports of children falling from the high chair. Four incidents resulted in injuries, including bruising and a cut on the forehead.",https://cpsc.gov/Recalls/2016/Nuna-Baby-Essentials-Recalls-High-Chairs,High chairs,Repair,"Albee Baby, Giggle, Magic Bean, Nordstrom and other specialty stores nationwide and online at ","About 5,600 in the U.S. (in addition, 350 were sold in Canada)"
China,"February 17, 2016","This recall involves Ashland® artificial poinsettia flowers sold in single stems and bushes. The poinsettia has red leaves, green stems and gold-colored accents in the center of the leaves. A label affixed to the stem at purchase has SKU number 426830 on the single stem and SKU number 424066 on the bush. The Ashland logo is printed on a sticker attached to the product.","Mold can be present on the stems and bushes, posing a risk of respiratory or other infections in consumers with compromised immune systems, damaged lungs or an allergy to mold.","Michaels Stores Procurement Company Inc. (“MSPCI”), of Irving, Texas ",None reported,https://cpsc.gov/Recalls/2016/Michaels-Recalls-Artificial-Poinsettias,Ashland Poinsettia Stems and Bushes,Refund,,"About 425,000 (in addition, 6,600 were sold in Canada)"
Canada,"February 12, 2016","This recall involves under-odorized propane gas (LP) delivered to consumers for use in storage tanks or sold at retail locations for use in portable refillable tanks (for use in recreational vehicles, barbeques, stoves and other appliances). LP was also sold to businesses for commercial and industrial use.","The recalled propane does not have sufficient levels of odorant to help alert consumers of a gas leak.  Failure to detect leaking gas can present fire, explosion and thermal burn hazards.",,None reported,https://cpsc.gov/Recalls/2016/Crescent-Point-Energy-Recalls-To-Inspect-Propane-Gas,Propane (LP) Gas,Repair,"Distributed in Arizona, Idaho, Kentucky, Minnesota, Montana, Nebraska, North Dakota, South Dakota, Washington, Wisconsin and Utah, delivered by various companies and sold by retailers between April 2009 and October 2015.","About 118,000,000 gallons (U.S.) (additional units sold in Canada)"
China,"February 18, 2016","This recall involves BYA Sports Skyline backyard zipline kits sold in 60-, 75- and 90-foot cable lengths. The kits were sold in camouflage packaging containing a main cable, trolley, short cable, turnbuckle and u-clamps. The following bar codes are found on the bottom left side of the packaging: 7456111220012 (60-ft.), 7456111220029 (75-ft.), and 7456111220036 (90 ft.). The BYA logo and ""Skyline (60, 75 or) 90 Zipline Kit"" are printed on the front of the packaging.","A crimp in the zipline can fail allowing the cable to pull free or become slack while in use, posing a fall hazard to the user.","BYA Sports, of Louisville, Colo.","CPSC and the firm have received nine reports of cable failure, including six reports of injuries. In three of the reported incidents, consumers sustained bruising and other unknown injuries from a fall. In the remaining three reported incidents, consumers reported head injuries.",https://cpsc.gov/Recalls/2016/BYA-Sports-Recalls-Skyline-Backyard-Zipline-Kits,Bring Your Adventure Sports (BYA) Skyline Zipline Kits,Replace,REI and other sporting goods stores nationwide and online at promotive.com from August 2013 through July 2015 for between $100 and $130.,"About 5,700 (in addition, 990 units were sold in Canada)"
China,"February 18, 2016","This recall involves snowboard boots with the M3v2 secondary reel dials, which are used to adjust the fit at the forefoot and tongue of the boots. This recall involves all sizes and colors of the following snowboard boot brand models containing the M3v2 reel:","The secondary reel can become stuck in the open position, causing the fit at the forefoot of the boot or tongue to loosen and posing a fall hazard.",,The firm received two reports of incidents. No injuries have been reported.,https://cpsc.gov/Recalls/2016/Snowboard-Boots-with-Boa-Secondary-Reels-Recalled-by-Boa,Snowboard Boots with Boa Secondary Reels,Repair,"REI and other retailers nationwide and online, including at REI.com and Backcountry.com, from June 2015 through October 2015 for between $100 to $750.","About 33,000 (in addition, about 4,500 in Canada)"
China,"February 18, 2016","This recall involves Apple World Travel Adapter Kits and wall plug adapters.  The kits contain three-prong and two-prong AC wall plug adapters that fit different electrical outlets worldwide. The recalled adapters were made for use in Australia/New Zealand/Argentina, Brazil, Continental Europe and Korea and were also sold with Mac computers and iOS devices. The wall plug adapters are white plastic with the following characteristics:","The two-prong wall plug adapters for Australia/New Zealand/Argentina, Brazil, Continental Europe and Korea can break and expose the metal portion of the adapter, posing an electric shock risk.","Apple, of Cupertino, Calif.","Apple has received 12 reports of wall plug adapters breaking and consumers receiving shocks overseas, including three reports of consumers who were medically evaluated and released. No reports of incidents or injuries were reported by U.S. consumers.  ",https://cpsc.gov/Recalls/2016/Apple-Recalls-Travel-Adapter-Kits-and-Plugs,AC adapter kits and plug adapters,Replace,"Apple stores and other home electronics stores, and online at Apple.com from January 2003 through January 2015 for about $30.","About 814,000 (In addition, about 81,000 were sold in Canada)"
China,"February 9, 2016",This recall involves Ikea,"The plastic retaining clips that secure the glass shades to the lamp housings can break and allow the glass shades to fall, posing a laceration hazard.","IKEA North America Services LLC, of Conshohocken, Pa","Ikea has received 224 reports of incidents worldwide of retaining clips breaking and glass shades falling from the lamps, including with 11 injuries. Three incidents with no injuries were reported in the U.S.",https://cpsc.gov/Recalls/2016/IKEA-Recalls-Ceiling-Lamps,Ceiling lamps,Refund, IKEA stores worldwide and online at ,"About 840,000 (in addition, about 427,000 were sold in Canada)"
China,"February 4, 2016","This recall involves a toy excavator and a shovel loader. The remote controlled plastic toys are orange with black and orange wheels. Both have tracking code 90RWE15 marked on the back of the battery compartment. UPC number 00430000549030 can be found on the bottom of the packaging. Power, Shovel Loader and Super Power are printed on stickers located on the side of the excavator. UPC 00400001622537 can be found on the bottom of the packaging. 6000Kg Peakload, FL-330 Deluxe Crane, and Crane Super Truck are printed on stickers located on the side of the shovel loader.","The toy truck's remote control can short circuit, causing it to overheat and posing fire and burn hazards.","Dollar General Corp., of Goodlettsville, Tenn.",Dollar General has received five reports of the toy's remote control overheating. No injuries have been reported. ,https://cpsc.gov/Recalls/2016/Dollar-General-Recalls-Construction-Truck-Toy-Vehicles,Toy trucks,Refund,,"About 27,000"
China,"February 4, 2016","This recall involves all Wedgwood Peter Rabbit decorative baby rattles. The silver-plated giftware is shaped like a baby rattle, but is intended to be used as decoration only. It measures about 4 ? inches long and 2 inches wide.  A Peter Rabbit figure and ""hop hop hop"" underneath are embossed on one end cap and ""hop little rabbit"" over the Peter Rabbit figure is embossed on the other end cap. ","The ball bearings inside each side of the decorative rattle can be released, posing a choking hazard to young children.","WWRD U.S. LLC, of Wall, N.J.",The firm has received two reports of ball bearings releasing from the decorative giftware baby rattle. No injuries have been reported.,https://cpsc.gov/Recalls/2016/Wedgwood-Decorative-Baby-Rattles-Recalled-by-WWRD,Wedgwood Peter Rabbit decorative baby rattles,Refund,"Bloomingdales, Macy's, and WWRD Outlets and other department stores nationwide and online at ",About 670 in the U.S. (in addition 24 were sold in Canada)
Taiwan,"February 4, 2016","This recall involves six models of HEAD ski and snowboard helmets:  Agent, Alia, Andor, Arise, Arosa and Avril. They were sold in sizes M/L and XL/XXL in black, blue, green white and yellow, with straps in a variety of colors. HEAD, the model name, size and ?Production Code: Dec. 2014? are printed on stickers that can be found by lifting the lining above the right earpiece.  ","The helmets do not comply with the impact requirements of safety standards for helmets, posing a risk of head injury.","Head USA, of Boulder, Colo. ",None reported,https://cpsc.gov/Recalls/2016/Head-USA-Recalls-Ski-and-Snowboard-Helmets,Ski and snowboard helmets,Replace,Specialty ski and snowboard shops and online from January 2015 through December 2015 for between $80 and $120.,"About 260 in the United States (in addition, 180 were sold in Canada)."
Israel,"February 4, 2016","The Green Tones 8-note Monkey Glockenspiel is a children's musical instrument with eight metal bars in multiple colors mounted on a wooden base shaped like a monkey. The bars are individually attached to the base with one screw at each end. The second bar from the top is pink, 3.5 inches long and has a ""B"" stamped on it. This is the bar that needs to be replaced. The Green Tones logo is stamped on the back of the glockenspiel and the tracking number HS0178410914 is printed in black at the bottom.","The pink metal note bar on the glockenspiel may contain excessive levels of lead in the paint, violating the federal lead paint standard. If the paint is scraped off and ingested lead can cause adverse health effects.","KHS America of Mt. Juliet, Tenn",None reported,https://cpsc.gov/Recalls/2016/KHS-America-Recalls-Childrens-Musical-Instrument,Monkey Glockenspiel,Replace,Independent toy and music retailers and online at amazon.com and gogreentones.com from January 2015 through September 2015 for about $40.,About 150
